number,kanji,kanji,pronunciation,example,comments
701,彩,彩,"サイ  いろどる","彩色，色彩，淡彩 彩る，彩り",,
702,採,采,"サイ  とる","採集，採用，採光 採る",⇔取る，執る，捕る,
703,済（濟）,济,"サイ  すむ  すます","返済，救済，経済 済む，使用済み 済ます",,
704,祭,祭,"サイ  まつる  まつり","祭礼，文化祭 祭る，祭り上げる 祭り，秋祭り",,
705,斎（齋）,斋,サイ,斎場，潔斎，書斎,,
706,細,细,"サイ  ほそい  ほそる  こまか  こまかい","細心，詳細，零細 細い，細腕，心細い 細る 細かだ 細かい",,
707,菜,菜,"サイ  な","菜園，菜食，野菜 菜，青菜",,
708,最,最,"サイ  もっとも","最大，最近，最先端 最も",最寄り（もより）,
709,裁,裁,"サイ  たつ  さばく","裁縫，裁判，体裁 裁つ，裁ち物 裁く，裁き",⇔断つ，絶つ,
710,債,债,サイ,債務，負債，公債,,
711,催,催,"サイ  もよおす","催眠，開催，主催 催す，催し",,
712,塞,塞,"サイ  ソク  ふさぐ  ふさがる","要塞 脳梗塞，閉塞 塞ぐ 塞がる",,
713,歳,岁,"サイ   セイ","歳末，歳月，二十歳 歳暮",二十歳（はたち）,
714,載,载,"サイ  のせる  のる","積載，掲載，記載 載せる 載る","⇔乗せる ⇔乗る",
715,際,際,"サイ  きわ","際限，交際，この際 際，際立つ，窓際",,
716,埼,埼,さい,,埼玉県,
717,在,在,"ザイ  ある","在留，在宅，存在 在る，在りし日",⇔有る,
718,材,材,ザイ,材木，材料，人材,,
719,剤（劑）,剂,ザイ,薬剤師，錠剤，消化剤,,
720,財,财,"ザイ   サイ","財産，私財，文化財 財布",,
721,罪,罪,"ザイ  つみ","罪状，犯罪，謝罪 罪",,
722,崎,崎,さき,○○崎,,
723,作,作,"サク  サ  つくる","作為，著作，豊作 作業，作用，動作 作る",⇔造る，創る,
724,削,削,"サク  けずる","削除，削減，添削 削る",,
725,昨,昨,サク,昨日，昨年，一昨日,昨日（きのう）,
726,柵,栅,サク,鉄柵,,
727,索,索,サク,索引，思索，鉄索,,
728,策,策,サク,策略，政策，対策,,
729,酢,酢,"サク  す","酢酸 酢，酢の物",,
730,搾,搾,"サク  しぼる","搾取，圧搾 搾る",⇔絞る,
731,錯,错,サク,錯誤，錯覚，交錯,,
732,咲,,さく,咲く，遅咲き,,
733,冊,册,"サツ  サク","冊子，別冊 短冊",,
734,札,札,"サツ  ふだ","札入れ，表札，入札 札，名札",,
735,刷,刷,"サツ  する","刷新，印刷，増刷 刷る",,
736,刹,刹,"サツ  セツ","古刹，名刹 刹那",,
737,拶,,サツ,挨拶,,
738,殺（殺）,杀,"サツ   サイ   セツ  ころす","殺人，殺到，黙殺 相殺 殺生 殺す，殺し，見殺し",,
739,察,察,サツ,察知，観察，考察,,
740,撮,撮,"サツ  とる","撮影 撮る",,
741,擦,擦,"サツ  する  すれる","擦過傷，摩擦 擦る，擦り傷 擦れる，靴擦れ",,
742,雑（雜）,杂,"ザツ  ゾウ","雑談，雑音，混雑 雑炊，雑木林，雑兵",雑魚（ざこ）,
743,皿,皿,さら,皿，灰皿,,
744,三,三,"サン  み  みつ  みっつ","三角，三流，再三 三日月，三日（みっか） 三つ指 三つ",三味線（しゃみせん）,
745,山,山,"サン  やま","山脈，高山，登山 山","山車（だし） 築山（つきやま）",
746,参（參）,参,"サン  まいる","参加，参万円，降参 参る，寺参り",,
747,桟（棧）,栈,サン,桟，桟橋,桟敷（さじき）,
748,蚕（蠶）,蚕,"サン  かいこ","蚕糸，蚕食，養蚕 蚕",,
749,惨（慘）,惨,"サン  ザン  みじめ","惨劇，悲惨，陰惨 惨死，惨殺 惨めだ",,
750,産,产,"サン  うむ  うまれる  うぶ","産業，生産，出産 産む，産み月 産まれる 産湯，産着，産毛","土産（みやげ） ⇔生む ⇔生まれる",
751,傘,伞,"サン  かさ","傘下，落下傘 傘，雨傘，日傘",,
752,散,散,"サン  ちる  ちらす  ちらかす  ちらかる","散歩，散文，解散 散る，散り散りに 散らす 散らかす 散らかる",,
753,算,算,サン,算数，計算，予算,,
754,酸,酸,"サン  すい","酸味，酸素，辛酸 酸い，酸っぱい",,
755,賛（贊）,赞,サン,賛成，賛同，称賛,,
756,残（殘）,残,"ザン  のこる  のこす","残留，残念，敗残 残る，残り 残す，食べ残し",名残（なごり）,
757,斬,斩,"ザン  きる","斬殺，斬新 斬る",⇔切る,
758,暫,暂,ザン,暫時，暫定,,
759,士,士,シ,士官，武士，紳士,"海士（あま） 居士（こじ） 博士（はかせ）",
760,子,子,"シ  ス  こ","子孫，女子，帽子 金子，扇子，様子 子，親子，年子","迷子（まいご） 息子（むすこ）",
761,支,支,"シ  ささえる","支持，支障，支店 支える，支え",差し支える（さしつかえる）,
762,止,止,"シ  とまる  とめる","止宿，静止，中止 止まる，行き止まり 止める，歯止め","波止場（はとば） ⇔留まる，泊まる ⇔留める，泊める",
763,氏,氏,"シ  うじ","氏名，姓氏，某氏 氏，氏神",,
764,仕,仕,"シ   ジ  つかえる","仕事，出仕 給仕 仕える",,
765,史,史,シ,史学，歴史，国史,,
766,司,司,シ,司会，司令，上司,,
767,四,四,"シ  よ  よつ  よっつ  よん","四角，四季，四十七士 四人，四日（よっか），四月目 四つ角 四つ 四回，四階",,
768,市,市,"シ  いち","市民，市況，都市 市，競り市",,
769,矢,矢,"シ  や","一矢を報いる 矢，矢印，矢面",,
770,旨,旨,"シ  むね","要旨，趣旨，本旨 旨",,
771,死,死,"シ  しぬ","死亡，死角，必死 死ぬ，死に絶える",,
772,糸（絲）,丝,"シ  いと","綿糸，蚕糸，製糸 糸，糸目，毛糸",,
773,至,至,"シ  いたる","至当，夏至，冬至 至る，至って〔副〕",,
774,伺,伺,"シ  うかがう","伺候 伺う，伺い",,
775,志,志,"シ  こころざす  こころざし","志望，有志，寸志 志す 志",,
776,私,私,"シ  わたくし  わたし","私立，私腹，公私 私，私する 私",,
777,使,使,"シ  つかう","使役，使者，駆使 使う，使い",⇔遣う,
778,刺,刺,"シ  さす  ささる","刺激，名刺，風刺 刺す，刺し殺す 刺さる",⇔差す，指す，挿す,
779,始,始,"シ  はじめる  はじまる","始終，年始，開始 始める，始め 始まる，始まり",⇔初め，初めて,
780,姉,姉,"シ  あね","姉妹，諸姉 姉，姉上",姉（ねえ）さん,
781,枝,枝,"シ  えだ","枝葉 枝",,
782,祉（祉）,祉,シ,福祉,,
783,肢,肢,シ,肢体，下肢，選択肢,,
784,姿,姿,"シ  すがた","姿勢，容姿，雄姿 姿",,
785,思,思,"シ  おもう","思想，意思，相思 思う，思い，思わしい",,
786,指,指,"シ  ゆび  さす","指示，指導，屈指 指，指先 指す，指図，名指し",⇔差す，刺す，挿す,
787,施,施,"シ  セ  ほどこす","施設，施政，実施 施主，施療，布施 施す，施し",,
788,師,師,シ,師匠，教師，医師,師走（しわす）,
789,恣,恣,シ,恣意的,＊［（付）第２の３参照］,
790,紙,纸,"シ  かみ","紙面，用紙，新聞紙 紙，紙くず，厚紙",,
791,脂,脂,"シ  あぶら","脂肪，油脂，樹脂 脂，脂ぎる",⇔油,
792,視（視）,视,シ,視覚，視力，注視,,
793,紫,紫,"シ  むらさき","紫紺，紫煙，紫外線 紫，紫色",,
794,詞,词,シ,歌詞，作詞，品詞,祝詞（のりと）,
795,歯（齒）,齿,"シ  は","歯科，乳歯，義歯 歯，入れ歯",,
796,嗣,嗣,シ,嗣子，嫡嗣,,
797,試,试,"シ  こころみる  ためす","試験，試作，追試 試みる，試み 試す，試し",,
798,詩,诗,シ,詩情，詩人，詩歌,「詩歌」は，「シイカ」とも。,
799,資,资,シ,資本，資格，物資,,
800,飼,饲,"シ  かう","飼育，飼料 飼う",,
801,誌,志,シ,誌面，日誌，雑誌,,
802,雌,雌,"シ  め  めす","雌雄，雌伏 雌花，雌牛，雌しべ 雌，雌犬",,
803,摯,挚,シ,真摯,,
804,賜,赐,"シ  たまわる","賜暇，下賜，恩賜 賜る",,
805,諮,咨,"シ  はかる","諮問 諮る",,
806,示,示,"ジ  シ  しめす","示威，示談，指示 示唆 示す，示し",,
807,字,字,"ジ  あざ","字画，文字，活字 字，大字",,
808,寺,寺,"ジ  てら","寺院，社寺，末寺 寺，尼寺",,
809,次,次,"ジ  シ  つぐ  つぎ","次回，次元，目次 次第 次ぐ，次いで〔副〕 次，次に，次々と",⇔継ぐ,
810,耳,耳,"ジ  みみ","耳鼻科，中耳炎 耳，早耳",,
811,自,自,"ジ  シ  みずから","自分，自由，各自 自然 自ら",,
812,似,似,"ジ  にる","類似，酷似，疑似 似る，似顔",,
813,児（兒）,儿,"ジ   ニ","児童，幼児，優良児 小児科","稚児（ちご） 鹿児島（かごしま）県",
814,事,事,"ジ   ズ  こと","事物，無事，師事 好事家 事，仕事，出来事",,
815,侍,侍,"ジ  さむらい","侍従，侍女，侍医 侍",,
816,治,治,"ジ  チ  おさめる  おさまる  なおる  なおす","政治，療治 治安，治水，自治 治める 治まる 治る 治す","⇔修める ⇔修まる ⇔直る ⇔直す",
817,持,持,"ジ  もつ","持参，持続，支持 持つ",,
818,時,时,"ジ  とき","時間，時候，当時 時，時めく，時々","時雨（しぐれ） 時計（とけい）",
819,滋,滋,ジ,滋味，滋養,滋賀（しが）県,
820,慈,慈,"ジ  いつくしむ","慈愛，慈善，慈悲 慈しむ，慈しみ",,
821,辞（辭）,辞,"ジ  やめる","辞書，辞職，式辞 辞める",,
822,磁,磁,ジ,磁石，磁気，陶磁器,,
823,餌［餌］,饵,"ジ  えさ  え","好餌，食餌 餌 餌食","［餌］＝許容字体， ＊［（付）第２の３参照］",
824,璽,玺,ジ,御璽，国璽,,
825,鹿,鹿,"しか   か","鹿 鹿の子",,
826,式,式,シキ,式典，形式，数式,,
827,識,识,シキ,識別，意識，知識,,
828,軸,轴,ジク,軸，車軸，地軸,,
829,七,七,"シチ  なな  ななつ   なの","七五三，七福神 七月目 七つ 七日","七夕（たなばた）   「七日」は，「なぬか」とも。",
830,𠮟,𠮟,"シツ  しかる","𠮟責 𠮟る",,
831,失,失,"シツ  うしなう","失望，失敗，消失 失う",,
832,室,室,"シツ  むろ","室内，皇室，居室 室，室咲き",,
833,疾,疾,シツ,疾患，疾走，悪疾,,
834,執,执,"シツ  シュウ  とる","執務，執筆，確執 執念，執心，我執 執る",⇔取る，採る,
835,湿（濕）,湿,"シツ  しめる  しめす","湿度，湿地，多湿 湿る，湿り 湿す",,
836,嫉,嫉,シツ,嫉妬,,
837,漆,漆,"シツ  うるし","漆器，漆黒，乾漆 漆",,
838,質,质,"シツ  シチ   チ","質問，質実，本質 質屋，人質 言質",,
839,実（實）,实,"ジツ  み  みのる","実力，充実，実に 実，実入り 実る，実り",,
840,芝,芝,しば,芝，芝居,芝生（しばふ）,
841,写（寫）,写,"シャ  うつす  うつる","写真，描写，映写 写す，写し 写る，写り","⇔映す ⇔映る",
842,社（社）,社,"シャ  やしろ","社会，会社，神社 社",,
843,車,车,"シャ  くるま","車輪，車庫，電車 車，歯車",山車（だし）,
844,舎,舍,シャ,舎監，校舎，寄宿舎,田舎（いなか）,
845,者（者）,者,"シャ  もの","医者，前者，第三者 者，若者",猛者（もさ）,
846,射,射,"シャ  いる","射撃，発射，日射病 射る",,
847,捨,舍,"シャ  すてる","捨象，取捨，喜捨 捨てる，捨て子",,
848,赦,赦,シャ,赦免，大赦，恩赦,,
849,斜,斜,"シャ  ななめ","斜面，斜線，傾斜 斜め",,
850,煮（煮）,煮,"シャ  にる  にえる  にやす","煮沸 煮る，雑煮 煮える，生煮え 業を煮やす",,
851,遮,遮,"シャ  さえぎる","遮断 遮る",,
852,謝,谢,"シャ  あやまる","謝絶，感謝，陳謝 謝る，平謝り",,
853,邪,邪,ジャ,邪悪，邪推，正邪,風邪（かぜ）,
854,蛇,蛇,"ジャ  ダ  へび","蛇の目，蛇腹，大蛇 蛇行，蛇足，長蛇 蛇",,
855,尺,尺,シャク,尺度，尺貫法,,
856,借,借,"シャク  かりる","借用，借金，貸借 借りる，借り",,
857,酌,酌,"シャク  くむ","酌量，晩酌 酌む，酌み交わす",,
858,釈（釋）,释,シャク,釈明，釈放，解釈,,
859,爵,爵,シャク,爵位,,
860,若,若,"ジャク   ニャク  わかい  もしくは","若年，若干，自若 老若 若い，若者，若々しい 若しくは","「老若」は，「ロウジャク」とも。 若人（わこうど）",
861,弱,弱,"ジャク  よわい  よわる  よわまる  よわめる","弱点，弱小，強弱 弱い，弱虫，足弱 弱る 弱まる 弱める",,
862,寂,寂,"ジャク   セキ  さび  さびしい  さびれる","寂滅，静寂，閑寂 寂然，寂として 寂 寂しい，寂しがる 寂れる",「寂然」は，「ジャクネン」とも。,
863,手,手,"シュ  て   た","手腕，挙手，選手 手，手柄，素手 手綱，手繰る","上手（じょうず） 下手（へた） 手伝（てつだ）う",
864,主,主,"シュ   ス  ぬし  おも","主人，主権，施主 法主，坊主 主，地主 主な人々",「法主（ホッス）」は，「ホウシュ」，「ホッシュ」とも。,
865,守,守,"シュ   ス  まもる  もり","守備，保守，攻守 留守 守る，守り お守り，子守，灯台守",,
866,朱,朱,シュ,朱肉，朱筆，朱塗り,,
867,取,取,"シュ  とる","取捨，取材，聴取 取る",⇔採る，執る，捕る,
868,狩,狩,"シュ  かる  かり","狩猟 狩る，狩り込み 狩り，ぶどう狩り",,
869,首,首,"シュ  くび","首尾，首席，自首 首，首飾り",,
870,殊,殊,"シュ  こと","殊勝，殊勲，特殊 殊に，殊の外，殊更",,
871,珠,珠,シュ,珠玉，珠算，真珠,数珠（じゅず）,
872,酒,酒,"シュ  さけ   さか","酒宴，飲酒，洋酒 酒，酒好き，甘酒 酒屋，酒場，酒盛り",お神酒（みき）,
873,腫,肿,"シュ  はれる  はらす","腫瘍 腫れる，腫れ 腫らす",,
874,種,种,"シュ  たね","種類，人種，品種 種，菜種，一粒種",,
875,趣,趣,"シュ  おもむき","趣向，趣味，興趣 趣",,
876,寿（壽）,寿,"ジュ  ことぶき","寿命，長寿，米寿 寿",,
877,受,受,"ジュ  うける  うかる","受諾，受験，甘受 受ける，受付 受かる",⇔請ける,
878,呪,呪,"ジュ  のろう","呪縛，呪文 呪う",,
879,授,授,"ジュ  さずける  さずかる","授与，伝授，教授 授ける 授かる",,
880,需,需,ジュ,需要，需給，必需品,,
881,儒,儒,ジュ,儒学，儒教，儒者,,
882,樹,树,ジュ,樹木，樹立，街路樹,,
883,収（收）,收,"シュウ  おさめる  おさまる","収穫，収入，回収 収める 収まる","⇔納める ⇔納まる",
884,囚,囚,シュウ,囚人，死刑囚,,
885,州,州,"シュウ  す","州議会，六大州 州，中州，三角州",,
886,舟,舟,"シュウ  ふね   ふな","舟運，舟艇，舟航 舟，小舟，渡し舟 舟遊び，舟宿，舟歌",⇔船,
887,秀,秀,"シュウ  ひいでる","秀逸，秀才，優秀 秀でる",,
888,周,周,"シュウ  まわり","周知，周囲，円周 周り",⇔回り,
889,宗,宗,"シュウ  ソウ","宗教，宗派，改宗 宗家，宗匠",,
890,拾,拾,"シュウ  ジュウ  ひろう","拾得，収拾 拾万円 拾う，拾い物",,
891,秋,秋,"シュウ  あき","秋季，秋分，晩秋 秋",,
892,臭（臭）,臭,"シュウ  くさい  におう","臭気，悪臭，俗臭 臭い，臭み，臭さ 臭う，臭い",⇔匂う,
893,修,修,"シュウ   シュ  おさめる  おさまる","修飾，修養，改修 修行 修める 修まる","⇔治める ⇔治まる",
894,袖,袖,"シュウ  そで","領袖 袖，半袖",,
895,終,终,"シュウ  おわる  おえる","終了，終日，最終 終わる，終わり 終える",,
896,羞,羞,シュウ,羞恥心,,
897,習,习,"シュウ  ならう","習得，習慣，練習 習う，手習い",⇔倣う,
898,週,周,シュウ,週刊，週末，毎週,,
899,就,就,"シュウ   ジュ  つく  つける","就任，就寝，去就 成就 就く 就ける","⇔着く，付く ⇔着ける，付ける",
900,衆,众,"シュウ   シュ","衆寡，民衆，聴衆 衆生",,
901,集,集,"シュウ  あつまる  あつめる  つどう","集合，集結，全集 集まる，集まり 集める，人集め 集う，集い",,
902,愁,愁,"シュウ  うれえる  うれい","愁傷，哀愁，憂愁 愁える 愁い","⇔憂える ⇔憂い",
903,酬,酬,シュウ,報酬，応酬,,
904,醜,丑,"シュウ  みにくい","醜悪，醜態，美醜 醜い，醜さ",,
905,蹴,蹴,"シュウ  ける","一蹴 蹴る，蹴散らす",,
906,襲,袭,"シュウ  おそう","襲撃，襲名，世襲 襲う",,
907,十,十,"ジュウ    ジッ  とお  と","十字架，十文字   十回 十，十日 十色，十重","十重二十重（とえはたえ） 二十・二十歳（はたち） 二十日（はつか） 「ジュッ」とも。",
908,汁,汁,"ジュウ  しる","果汁，墨汁 汁，汁粉",,
909,充,充,"ジュウ  あてる","充実，充電，補充 充てる",⇔当てる，宛てる,
910,住,住,"ジュウ  すむ  すまう","住所，安住，衣食住 住む 住まう，住まい",,
911,柔,柔,"ジュウ  ニュウ  やわらか  やわらかい","柔軟，柔道，懐柔 柔和，柔弱 柔らかだ 柔らかい","⇔軟らか ⇔軟らかい",
912,重,重,"ジュウ  チョウ  え  おもい  かさねる  かさなる","重量，重大，二重 重畳，慎重，貴重 一重，八重桜 重い，重たい 重ねる，重ね着 重なる",十重二十重（とえはたえ）,
913,従（從）,从,"ジュウ   ショウ   ジュ  したがう  したがえる","従事，従順，服従 従容 従○位 従う 従える",,
914,渋（澁）,涩,"ジュウ  しぶ  しぶい  しぶる","渋滞，苦渋 渋，渋紙 渋い，渋さ，渋み 渋る",,
915,銃,铳,ジュウ,銃砲，銃弾，小銃,,
916,獣（獸）,兽,"ジュウ  けもの","獣類，猛獣，鳥獣 獣",,
917,縦（縱）,纵,"ジュウ  たて","縦横，縦断，操縦 縦",,
918,叔,叔,シュク,伯叔,"叔父（おじ） 叔母（おば）",
919,祝（祝）,祝,"シュク   シュウ  いわう","祝賀，祝日，慶祝 祝儀，祝言 祝う",祝詞（のりと）,
920,宿,宿,"シュク  やど  やどる  やどす","宿泊，宿題，合宿 宿，宿屋 宿る，雨宿り 宿す",,
921,淑,淑,シュク,淑女，貞淑，私淑,,
922,粛（肅）,肃,シュク,粛清，静粛，自粛,,
923,縮,缩,"シュク  ちぢむ  ちぢまる  ちぢめる  ちぢれる  ちぢらす","縮小，縮図，短縮 縮む，伸び縮み 縮まる 縮める 縮れる，縮れ毛 縮らす",,
924,塾,塾,ジュク,塾，私塾,,
925,熟,熟,"ジュク  うれる","熟練，熟慮，成熟 熟れる",,
926,出,出,"シュツ   スイ  でる  だす","出入，出現，提出 出納 出る，出窓，遠出 出す",,
927,述,述,"ジュツ  のべる","叙述，陳述，著述 述べる",,
928,術,术,ジュツ,術策，技術，芸術,,
929,俊,俊,シュン,俊敏，俊秀，俊才,,
930,春,春,"シュン  はる","春季，立春，青春 春，春めく",,
931,瞬,瞬,"シュン  またたく","瞬間，瞬時，一瞬 瞬く，瞬き",,
932,旬,旬,"ジュン   シュン","旬刊，上旬 旬，旬の野菜",,
933,巡,巡,"ジュン  めぐる","巡回，巡業，一巡 巡る，巡り歩く",お巡（まわ）りさん,
934,盾,盾,"ジュン  たて","矛盾 盾，後ろ盾",,
935,准,准,ジュン,准将，批准,,
936,殉,殉,ジュン,殉死，殉職，殉難,,
937,純,纯,ジュン,純真，純粋，不純,,
938,循,循,ジュン,循環，因循,,
939,順,順,ジュン,順序，順調，従順,,
940,準,准,ジュン,準備，基準，標準,,
941,潤,润,"ジュン  うるおう  うるおす  うるむ","潤色，潤沢，湿潤 潤う，潤い 潤す 潤む",,
942,遵,遵,ジュン,遵守，遵法,,
943,処（處）,处,ショ,処置，処罰，処女,,
944,初,初,"ショ  はじめ  はじめて  はつ  うい  そめる","初期，初心者，最初 初め 初めて〔副〕 初の受賞，初雪，初耳 初陣，初々しい 書き初め，出初め式",⇔始め,
945,所,所,"ショ  ところ","所得，住所，近所 所，台所",,
946,書,书,"ショ  かく","書画，書籍，読書 書く",⇔描く,
947,庶,庶,ショ,庶民，庶務,,
948,暑（暑）,暑,"ショ  あつい","暑気，残暑，避暑 暑い，暑さ",⇔熱い,
949,署（署）,署,ショ,署名，署長，警察署,,
950,緒（緖）,绪,"ショ   チョ  お","緒戦，由緒，端緒 情緒 緒，鼻緒",「情緒」は，「ジョウショ」とも。,
951,諸（諸）,诸,ショ,諸君，諸国，諸般,,
952,女,女,"ジョ  ニョ   ニョウ  おんな  め","女子，女流，少女 女人，天女，善男善女 女房 女，女心，女らしい 女神，女々しい","海女（あま）    乙女（おとめ）",
953,如,如,"ジョ  ニョ","欠如，突如，躍如 如実，如来，不如意",,
954,助,助,"ジョ  たすける  たすかる  すけ","助力，助監督，救助 助ける，助け 助かる，大助かり 助太刀",,
955,序,序,ジョ,序幕，順序，秩序,,
956,叙（敍）,叙,ジョ,叙述，叙景，叙勲,,
957,徐,徐,ジョ,徐行，徐々に,,
958,除,除,"ジョ   ジ  のぞく","除外，除数，解除 掃除 除く",,
959,小,小,"ショウ  ちいさい  こ  お","小心，大小，縮小 小さい，小さな 小型，小鳥，小切手 小川，小暗い",小豆（あずき）,
960,升,升,"ショウ  ます",升，升目,,
961,少,少,"ショウ  すくない  すこし","少年，多少，減少 少ない 少し",,
962,召,召,"ショウ  めす","召喚，国会の召集 召す，召し上がる",,
963,匠,匠,ショウ,師匠，巨匠，意匠,,
964,床,床,"ショウ  とこ  ゆか","起床，病床，温床 床，床の間，寝床 床，床下",,
965,抄,抄,ショウ,抄録，抄本，抄訳,,
966,肖,肖,ショウ,肖像，不肖,,
967,尚,尚,ショウ,尚早，高尚,,
968,招,招,"ショウ  まねく","招待，招致，招請 招く，招き",,
969,承,承,"ショウ  うけたまわる","承知，承諾，継承 承る",,
970,昇,昇,"ショウ  のぼる","昇降，昇進，上昇 昇る",⇔上る，登る,
971,松,松,"ショウ  まつ","松竹梅，白砂青松 松，松原，門松",,
972,沼,沼,"ショウ  ぬま","沼沢，湖沼 沼，沼地",,
973,昭,昭,ショウ,昭和,,
974,宵,宵,"ショウ  よい","徹宵 宵",,
975,将（將）,将,ショウ,将来，将棋，大将,,
976,消,消,"ショウ  きえる  けす","消滅，消極的，費消 消える，立ち消え 消す，消しゴム",,
977,症,症,ショウ,症状，炎症，重症,,
978,祥（祥）,祥,ショウ,発祥，吉祥，不祥事,,
979,称（稱）,称,ショウ,称賛，名称，称する,,
980,笑,笑,"ショウ  わらう  えむ","笑覧，微笑，談笑 笑う，大笑い ほくそ笑む，笑み",笑顔（えがお）,
981,唱,唱,"ショウ  となえる","唱歌，合唱，提唱 唱える",,
982,商,商,"ショウ  あきなう","商売，商業，貿易商 商う，商い",,
983,渉（涉）,涉,ショウ,渉外，干渉，交渉,,
984,章,章,ショウ,憲章，勲章，文章,,
985,紹,绍,ショウ,紹介,,
986,訟,讼,ショウ,訴訟,,
987,勝,胜,"ショウ  かつ  まさる","勝敗，優勝，名勝 勝つ，勝ち，勝手 勝る，男勝り",,
988,掌,掌,ショウ,掌中，職掌，車掌,,
989,晶,晶,ショウ,結晶，水晶,,
990,焼（燒）,烧,"ショウ  やく  やける","焼却，燃焼，全焼 焼く，炭焼き 焼ける，夕焼け",,
991,焦,焦,"ショウ  こげる  こがす  こがれる  あせる","焦土，焦慮，焦心 焦げる，黒焦げ 焦がす 焦がれる 焦る，焦り",,
992,硝,硝,ショウ,硝石，硝酸,,
993,粧,妆,ショウ,化粧,,
994,詔,诏,"ショウ  みことのり","詔勅，詔書 詔",,
995,証（證）,证,ショウ,証拠，証明，免許証,,
996,象,象,"ショウ  ゾウ","象徴，対象，現象 象眼，巨象",,
997,傷,伤,"ショウ  きず  いたむ  いためる","傷害，負傷，感傷 傷，古傷，傷つく 傷む 傷める","⇔痛む，悼む ⇔痛める",
998,奨（奬）,奖,ショウ,奨励，奨学金，推奨,,
999,照,照,"ショウ てる てらす てれる","照明，照会，対照的照る，日照り照らす照れる",,
1000,詳,詳,"ショウ くわしい","詳細，詳報，未詳詳しい，詳しさ",,
1001,彰,彰,ショウ,表彰，顕彰,,
1002,障,障,"ショウ さわる","障害，障子，故障障る，差し障り",,
1003,憧,憧,"ショウ あこがれる","憧憬憧れる，憧れ",「憧憬」は，「ドウケイ」とも。,
1004,衝,衝,ショウ,衝突，衝動，折衝,,
1005,賞,賞,ショウ,賞罰，賞与，懸賞,,
1006,償,償,"ショウ つぐなう","償金，弁償，代償償う，償い",,
1007,礁,礁,ショウ,岩礁，暗礁，さんご礁,,
1008,鐘,鐘,"ショウ かね","半鐘，警鐘鐘",,
1009,上,上,"ジョウ  ショウ うえ  うわ かみ あげる あがる のぼる のぼせる のぼす","上旬，上昇，地上上人，身上を潰す上，身の上上着，上積み上，川上上げる，売り上げ上がる，上がり上る，上り上せる上す","上手（じょうず）「身上」は，「シンショウ」と「シンジョウ」とで，意味が違う。⇔揚げる，挙げる⇔揚がる，挙がる⇔昇る，登る",
1010,丈,丈,"ジョウ たけ","丈六，丈夫な体丈，背丈",,
1011,冗,冗,ジョウ,冗談，冗長，冗費,,
1012,条（條）,条（條）,ジョウ,条理，条約，箇条,,
1013,状（狀）,状（狀）,ジョウ,状態，白状，免状,,
1014,乗（乘）,乗（乘）,"ジョウ のる のせる","乗数，乗車，大乗的乗る，乗り物乗せる","⇔載る⇔載せる",
1015,城,城,"ジョウ しろ","城内，城下町，落城城，城跡",茨城（いばらき）県，宮城（みやぎ）県,
1016,浄（淨）,浄（淨）,ジョウ,浄化，清浄，不浄,,
1017,剰（剩）,剰（剩）,ジョウ,剰余，過剰，余剰,,
1018,常,常,"ジョウ つね とこ","常備，日常，非常常，常に，常々常夏",,
1019,情,情,"ジョウ  セイ なさけ","情報，情熱，人情風情情け",,
1020,場,場,"ジョウ ば","場内，会場，入場場，場所，広場",,
1021,畳（疊）,畳（疊）,"ジョウ たたむ たたみ","畳語，重畳畳む，折り畳み畳，畳表，青畳",,
1022,蒸,蒸,"ジョウ むす むれる むらす","蒸気，蒸発蒸す，蒸し暑い蒸れる蒸らす",,
1023,縄（繩）,縄（繩）,"ジョウ なわ","縄文，自縄自縛縄，縄張",,
1024,壌（壤）,壌（壤）,ジョウ,土壌,,
1025,嬢（孃）,嬢（孃）,ジョウ,令嬢，愛嬢，お嬢さん,,
1026,錠,錠,ジョウ,錠前，錠剤，手錠,,
1027,譲（讓）,譲（讓）,"ジョウ ゆずる","譲渡，譲歩，謙譲譲る，親譲り",,
1028,醸（釀）,醸（釀）,"ジョウ かもす","醸造，醸成醸す，醸し出す",,
1029,色,色,"ショク シキ いろ","原色，特色，物色色彩，色調，色欲色，桜色，色づく",景色（けしき）,
1030,拭,拭,"ショク ふく ぬぐう","払拭拭く拭う",,
1031,食,食,"ショク  ジキ くう くらう たべる","食事，食料，会食断食食う，食い物食らう食べる，食べ物",,
1032,植,植,"ショク うえる うわる","植樹，植物，誤植植える，植木植わる",,
1033,殖,殖,"ショク ふえる ふやす","生殖，利殖，学殖殖える殖やす","⇔増える⇔増やす",
1034,飾,飾,"ショク かざる","装飾，修飾，服飾飾る，飾り",,
1035,触（觸）,触（觸）,"ショク ふれる さわる","触媒，触発，接触触れる触る",,
1036,嘱（囑）,嘱（囑）,ショク,嘱託，委嘱,,
1037,織,織,"ショク シキ おる","織機，染織，紡織組織織る，織物",,
1038,職,職,ショク,職業，職務，就職,,
1039,辱,辱,"ジョク はずかしめる","恥辱，雪辱，屈辱辱める，辱め",,
1040,尻,尻,しり,尻，尻込み，目尻,尻尾（しっぽ）,
1041,心,心,"シン こころ","心身，感心，中心心，心得る，親心",心地（ここち）,
1042,申,申,"シン もうす","申告，申請，内申書申す，申し上げる",,
1043,伸,伸,"シン のびる のばす のべる","伸縮，屈伸，追伸伸びる，背伸び伸ばす伸べる","⇔延びる⇔延ばす⇔延べる",
